0,1,2,3
2022-12-23,(not set),278974,0
2022-12-23,SplashScreenActivity,221955,376217
2022-12-23,HomeActivity,211179,856678
2022-12-23,WheelFortuneActivity,159891,227434
2022-12-23,LockScreenBackgroundActivity,126930,1652072
2022-12-23,RewardDetailActivity,40355,67632
2022-12-23,SurveyAdvancedDetailActivity,38928,92366
2022-12-23,InboxActivity,34799,129096
2022-12-23,SurveyDetailActivity,34428,40752
2022-12-23,MainLauncherActivity,22817,55466
2022-12-23,AdsActivity,17891,32300
2022-12-23,MasukActivity,17713,50028
2022-12-23,RegisterActivity,15357,35042
2022-12-23,InboxDetailActivity,15198,72720
2022-12-23,CerpenActivity,14030,23618
2022-12-23,ProfileActivity,12986,31149
2022-12-23,DetailArtikelListWebActivity,10742,19887
2022-12-23,WebActivity,8797,13393
2022-12-23,VerifikasiActivity,8707,10256
2022-12-23,ActivateLockscreenActivity,8007,8237
2022-12-23,InterestsActivity,7954,8703
2022-12-23,SignInHubActivity,6162,14113
2022-12-23,LupaPasswordActivity,5449,8088
2022-12-23,FacebookActivity,4369,7283
2022-12-23,CerpenChapterActivity,4309,10424
2022-12-23,SettingLockscreenActivity,4303,5703
2022-12-23,VerifyOtpLupaPasswordActivity,3690,5045
2022-12-23,InviteFriendActivity,3627,4527
2022-12-23,ListArtikelActivity,3136,4267
2022-12-23,DetailCerpenActivity,2703,4979
2022-12-23,LockScreenActivity,2417,53147
2022-12-23,BrowserActivity,2290,3270
2022-12-23,PageNotifActivity,1522,1697
2022-12-23,HistoryActivity,1412,1763
2022-12-23,ForceUpdateActivity,1261,3580
2022-12-23,EditProfileActivity,990,3001
2022-12-23,VideoActivity,939,1915
2022-12-23,OptOutActivity,720,841
2022-12-23,InterestProfileActivity,696,804
2022-12-23,UnlockActivity,641,12731
2022-12-23,UpdatePasswordActivity,557,678
2022-12-23,OAuthActivity,469,673
2022-12-23,ImagePickerActivity,408,810
2022-12-23,PrivacyActivity,362,397
2022-12-23,UCropActivity,360,658
2022-12-23,FaqActivity,279,339
2022-12-23,MenuKoinActivity,228,762
2022-12-23,OnboardActivity,183,206
2022-12-23,ProvinceActivity,90,141
2022-12-23,KotaActivity,76,111
2022-12-23,MainMenuActivity,68,153
2022-12-23,SignUpPersonalDetailsActivity,48,70
2022-12-23,SurveyHistoryDetailActivity,32,51
2022-12-23,SurveyHistoryAdvDetailActivity,31,39
2022-12-23,DemoActivity,24,27
2022-12-23,CropImageActivity,21,50
2022-12-23,SurveyAdvSuksesActivity,20,43
2022-12-23,DetailArtikelListActivity,16,26
2022-12-23,VerifyOtpActivity,14,20
2022-12-23,EnterVerificationActivity,13,14
2022-12-23,SignUpInterestsActivity,13,13
2022-12-23,SuccesVerifiyActivity,13,13
2022-12-23,GoogleApiActivity,7,15
2022-12-23,BrowserAsianActivity,4,4
2022-12-23,RewardHistoryActivity,4,4
2022-12-23,AboutActivity,2,2
2022-12-23,PengaturanActivity,2,2
2022-12-23,AdjoeActivity,1,6
2022-12-23,BantuanActivity,1,1
2022-12-23,BidingActivity,1,1
2022-12-23,DummyImpl_AdActivity,1,1
2022-12-23,OffersActivity,1,8
2022-12-23,OptOutSurveyActivity,1,1
2022-12-23,TJAdUnitActivity,1,1
2022-12-24,(not set),270110,0
2022-12-24,SplashScreenActivity,214498,353382
2022-12-24,HomeActivity,204359,802380
2022-12-24,WheelFortuneActivity,153657,214973
2022-12-24,LockScreenBackgroundActivity,124332,1567915
2022-12-24,RewardDetailActivity,39565,63741
2022-12-24,SurveyAdvancedDetailActivity,37082,86590
2022-12-24,SurveyDetailActivity,34178,40373
2022-12-24,InboxActivity,32663,123343
2022-12-24,MainLauncherActivity,22157,52366
2022-12-24,MasukActivity,16990,46967
2022-12-24,InboxDetailActivity,14945,71246
2022-12-24,RegisterActivity,14817,33533
2022-12-24,CerpenActivity,13633,22065
2022-12-24,AdsActivity,13468,24172
2022-12-24,DetailArtikelListWebActivity,13296,23216
2022-12-24,ProfileActivity,12440,29305
2022-12-24,VerifikasiActivity,8300,9649
2022-12-24,ActivateLockscreenActivity,7630,7796
2022-12-24,InterestsActivity,7568,8201
2022-12-24,WebActivity,6257,9607
2022-12-24,SignInHubActivity,5960,13692
2022-12-24,LupaPasswordActivity,5034,7453
2022-12-24,PageNotifActivity,4587,5331
2022-12-24,SettingLockscreenActivity,4118,5590
2022-12-24,CerpenChapterActivity,4086,9831
2022-12-24,FacebookActivity,4071,6704
2022-12-24,VerifyOtpLupaPasswordActivity,3438,4839
2022-12-24,InviteFriendActivity,3089,3800
2022-12-24,ListArtikelActivity,2878,3925
2022-12-24,DetailCerpenActivity,2576,4947
2022-12-24,LockScreenActivity,2405,50430
2022-12-24,BrowserActivity,2095,2837
2022-12-24,HistoryActivity,1367,1779
2022-12-24,ForceUpdateActivity,1174,3440
2022-12-24,EditProfileActivity,947,2907
2022-12-24,VideoActivity,847,1588
2022-12-24,InterestProfileActivity,661,760
2022-12-24,OptOutActivity,641,762
2022-12-24,UnlockActivity,641,11819
2022-12-24,UpdatePasswordActivity,481,583
2022-12-24,OAuthActivity,460,598
2022-12-24,ImagePickerActivity,399,809
2022-12-24,UCropActivity,346,654
2022-12-24,PrivacyActivity,315,368
2022-12-24,FaqActivity,252,309
2022-12-24,MenuKoinActivity,178,682
2022-12-24,OnboardActivity,163,181
2022-12-24,ProvinceActivity,91,121
2022-12-24,KotaActivity,65,99
2022-12-24,MainMenuActivity,58,149
2022-12-24,SurveyHistoryAdvDetailActivity,48,99
2022-12-24,SignUpPersonalDetailsActivity,37,74
2022-12-24,DemoActivity,27,27
2022-12-24,SurveyHistoryDetailActivity,25,40
2022-12-24,DetailArtikelListActivity,18,28
2022-12-24,CropImageActivity,17,66
2022-12-24,VerifyOtpActivity,16,20
2022-12-24,SurveyAdvSuksesActivity,15,23
2022-12-24,EnterVerificationActivity,11,12
2022-12-24,GoogleApiActivity,11,15
2022-12-24,SignUpInterestsActivity,8,8
2022-12-24,SuccesVerifiyActivity,8,8
2022-12-24,AboutActivity,3,3
2022-12-24,PengaturanActivity,3,5
2022-12-24,SurveyHistoryActivity,2,4
2022-12-24,AdjoeActivity,1,1
2022-12-24,BantuanActivity,1,2
2022-12-24,BidingActivity,1,1
2022-12-24,DummyImpl_AdActivity,1,1
2022-12-24,OfferwallActivity,1,1
2022-12-24,RewardHistoryActivity,1,1
2022-12-24,SurveyHistoryAdvActivity,1,10
2022-12-25,(not set),66628,0
2022-12-25,SplashScreenActivity,38260,47006
2022-12-25,HomeActivity,36807,100514
2022-12-25,LockScreenBackgroundActivity,35110,134726
2022-12-25,WheelFortuneActivity,27692,32941
2022-12-25,SurveyAdvancedDetailActivity,4501,9556
2022-12-25,InboxActivity,4159,14273
2022-12-25,RewardDetailActivity,3563,5139
2022-12-25,SurveyDetailActivity,2994,3431
2022-12-25,MainLauncherActivity,2221,4554
2022-12-25,MasukActivity,2041,5269
2022-12-25,InboxDetailActivity,2006,8291
2022-12-25,DetailArtikelListWebActivity,1961,3164
2022-12-25,ProfileActivity,1777,4301
2022-12-25,AdsActivity,1495,2842
2022-12-25,CerpenActivity,1478,2144
2022-12-25,RegisterActivity,1218,2672
2022-12-25,PageNotifActivity,850,1021
2022-12-25,LockScreenActivity,768,5919
2022-12-25,WebActivity,739,1218
2022-12-25,VerifikasiActivity,602,705
2022-12-25,SettingLockscreenActivity,577,755
2022-12-25,InterestsActivity,544,589
2022-12-25,ActivateLockscreenActivity,543,555
2022-12-25,SignInHubActivity,521,1177
2022-12-25,LupaPasswordActivity,514,758
2022-12-25,VerifyOtpLupaPasswordActivity,399,535
2022-12-25,CerpenChapterActivity,397,793
2022-12-25,FacebookActivity,354,613
2022-12-25,ListArtikelActivity,349,435
2022-12-25,InviteFriendActivity,336,422
